Timestamp,VOC(ug/m³),HCHO(ug/m³),PM2.5(ug/m³)
2025-03-27T11:29:09.107522,150,8,0
2025-03-27T11:29:10.688390,150,8,0
2025-03-27T11:29:10.689514,150,8,0
2025-03-27T11:29:12.289609,150,8,0
2025-03-27T11:29:13.881335,150,8,0
2025-03-27T11:29:13.882455,150,8,0
2025-03-27T11:29:15.412628,150,8,0
2025-03-27T11:29:15.413785,150,8,0
2025-03-27T11:29:16.958097,150,8,0
2025-03-27T11:29:18.513237,150,8,0
2025-03-27T11:29:18.513237,150,8,0
2025-03-27T11:29:20.068724,150,8,0
2025-03-27T11:29:21.629493,150,8,0
2025-03-27T11:29:21.630671,150,8,0
2025-03-27T11:29:23.192306,150,8,0
2025-03-27T11:29:24.761846,150,9,0
2025-03-27T11:29:24.762995,150,9,0
2025-03-27T11:29:26.331250,150,8,0
2025-03-27T11:29:27.905200,150,8,0
2025-03-27T11:29:27.906261,150,8,0
2025-03-27T11:29:29.476809,150,8,0
2025-03-27T11:29:29.477876,150,8,0
2025-03-27T11:29:31.050059,150,8,0
2025-03-27T11:29:32.609648,150,9,0
2025-03-27T11:29:32.611946,150,9,0
2025-03-27T11:29:34.194840,150,9,0
2025-03-27T11:29:35.775725,150,9,0
2025-03-27T11:29:35.778140,150,9,0
2025-03-27T11:29:37.368306,150,9,0
2025-03-27T11:29:38.961605,150,8,0
2025-03-27T11:29:38.962763,150,8,0
2025-03-27T11:29:40.561568,150,8,0
2025-03-27T11:29:40.562706,150,7,0
2025-03-27T11:29:42.168604,150,7,0
2025-03-27T11:29:43.761926,150,7,0
2025-03-27T11:29:43.762997,150,7,0
2025-03-27T11:29:45.346569,150,7,0
2025-03-27T11:29:46.963783,150,7,0
2025-03-27T11:29:46.964997,150,7,0
2025-03-27T11:29:48.546548,150,7,0
2025-03-27T11:29:48.547793,150,7,0
2025-03-27T11:29:50.123449,150,7,0
2025-03-27T11:29:51.712759,150,7,0
2025-03-27T11:29:51.715234,150,7,0
2025-03-27T11:29:53.342788,150,7,0
2025-03-27T11:29:54.973567,150,8,0
2025-03-27T11:29:54.975937,150,8,0
2025-03-27T11:29:56.602579,150,8,0
2025-03-27T11:29:56.605027,150,8,0
2025-03-27T11:29:58.240124,150,9,0
